Meas 1 Raw,Meas 2 Raw,Meas 3 Raw,Meas 4 Raw,Meas 5 Raw,Meas 6 Raw,Meas 7 Raw,Meas 8 Raw,Meas 9 Raw,Meas 10 Raw,Meas 11 Raw,Meas 12 Raw,Meas 13 Raw,Meas 14 Raw,Meas 15 Raw,Meas 16 Raw,Meas 17 Raw,Meas 18 Raw,Meas 19 Raw,Meas 20 Raw,Meas 21 Raw,Meas 22 Raw,Meas 23 Raw,Meas 24 Raw,Meas 25 Raw,Meas 26 Raw,Meas 27 Raw,Meas 28 Raw,Meas 29 Raw,Meas 30 Raw,Meas 31 Raw,Meas 32 Raw
1.057944893836975,1.050739124417305,1.055165410041809,1.0386718064546585,1.0357517898082733,1.0336413085460663,1.035633236169815,1.0461286902427673,1.048562616109848,1.0471311062574387,1.019238904118538,1.045964851975441,1.0263429284095764,1.0292000472545624,1.024155080318451,1.048414945602417,1.0430020093917847,1.0421943068504333,1.0403039157390594,1.0288823693990707,1.0383764952421188,1.0534225106239319,1.0272792726755142,1.0523198693990707,1.0326340198516846,1.0445383489131927,1.057731345295906,1.0431593209505081,1.0683501213788986,1.0502630323171616,1.0304218232631683,1.0324192345142365
1.092597097158432,1.0854590237140656,1.0898431539535522,1.0728427022695541,1.0699959993362427,1.0683707147836685,1.0702183544635773,1.0803557932376862,1.0831866413354874,1.0802071392536163,1.0528522431850433,1.0805380195379257,1.0605711936950684,1.0626105666160583,1.0588118731975555,1.0833425968885422,1.07745261490345,1.0767707228660583,1.0748081356287003,1.0619023591279984,1.0723954737186432,1.0878017395734787,1.0615287274122238,1.0874419063329697,1.0665026307106018,1.0787340104579926,1.0925106853246689,1.0774811506271362,1.1025962233543396,1.0849423855543137,1.0647244155406952,1.066077396273613
1.0923595130443573,1.0849079489707947,1.0894165933132172,1.0723441541194916,1.0694730877876282,1.0677166879177094,1.0698760449886322,1.079960286617279,1.0828270018100739,1.0797709971666336,1.0522639006376266,1.079934224486351,1.059986412525177,1.0622348338365555,1.0581819415092468,1.0828163623809814,1.0771678537130356,1.0763207226991653,1.0743079036474228,1.0616723597049713,1.0719557255506516,1.0872771888971329,1.0611731857061386,1.0868144631385803,1.066294938325882,1.0782162547111511,1.0920927822589874,1.0769500434398651,1.102269098162651,1.0845177471637726,1.0642977356910706,1.0659145712852478
1.092208206653595,1.084728181362152,1.089128464460373,1.0722064077854156,1.0694140195846558,1.0674189180135727,1.0695440471172333,1.0797685086727142,1.0824966430664062,1.0795365571975708,1.052150160074234,1.07980278134346,1.0596387386322021,1.0620474964380264,1.0581455826759338,1.0825445502996445,1.0767085254192352,1.076007142663002,1.0741150081157684,1.0614661276340485,1.0718040019273758,1.0869226604700089,1.060946136713028,1.086552307009697,1.0659420788288116,1.078159898519516,1.0917175710201263,1.0768414288759232,1.1022219210863113,1.0840586721897125,1.0639030188322067,1.0655547976493835
1.091863140463829,1.0844078809022903,1.0889222025871277,1.0719763934612274,1.0693649649620056,1.067316547036171,1.0695009678602219,1.0796821564435959,1.082437127828598,1.0794987827539444,1.0520009845495224,1.0794565230607986,1.0595500320196152,1.0617773681879044,1.0578209906816483,1.0823985487222672,1.0765369236469269,1.0759430825710297,1.0739480555057526,1.0612555593252182,1.0715065747499466,1.0867899954319,1.0607635080814362,1.0863268375396729,1.0659440755844116,1.0779521614313126,1.0916828960180283,1.0766516327857971,1.1021199822425842,1.084094911813736,1.0637375861406326,1.0656756311655045
1.0919077396392822,1.084454670548439,1.088933989405632,1.0718979835510254,1.0691689103841782,1.0671564191579819,1.069427639245987,1.079470843076706,1.0823396444320679,1.0793312191963196,1.0519960224628448,1.0794725269079208,1.0593092739582062,1.0617348104715347,1.0578542351722717,1.082153782248497,1.0763654112815857,1.0758691430091858,1.0737096965312958,1.0611613541841507,1.0717212110757828,1.08660788834095,1.0606949627399445,1.0863226056098938,1.0658974796533585,1.0778973996639252,1.0914388000965118,1.076542228460312,1.102034017443657,1.0837282985448837,1.06362946331501,1.0654957741498947
1.0918180048465729,1.0842079818248749,1.08901746571064,1.0718026459217072,1.0690949857234955,1.0670094788074493,1.0693348944187164,1.0794233530759811,1.0822573006153107,1.0791136622428894,1.0517893582582474,1.0792327523231506,1.059395283460617,1.0616289973258972,1.0576729029417038,1.0821299701929092,1.0762926042079926,1.0757297426462173,1.0736757814884186,1.061043158173561,1.0714231580495834,1.0863408297300339,1.0605103522539139,1.0861948281526566,1.0656798481941223,1.0777098685503006,1.0915426164865494,1.0765234977006912,1.1019783914089203,1.083621010184288,1.063524767756462,1.0654743760824203
1.0917492806911469,1.0842709243297577,1.0886236280202866,1.0717175751924515,1.0690673887729645,1.0671749114990234,1.069218948483467,1.0794390141963959,1.082050383090973,1.079295888543129,1.051815241575241,1.0792881697416306,1.0591402798891068,1.0615919828414917,1.0576710850000381,1.0821936279535294,1.0764182806015015,1.0755378007888794,1.0735372304916382,1.061032921075821,1.071309506893158,1.0861931294202805,1.0604443103075027,1.085990995168686,1.0655936300754547,1.0777809619903564,1.091472089290619,1.0763580948114395,1.101850152015686,1.0836491584777832,1.0634521692991257,1.0655971467494965
1.0914674401283264,1.0839469879865646,1.088625580072403,1.0717327743768692,1.0689761191606522,1.0667401552200317,1.0691203773021698,1.0793979465961456,1.0819146484136581,1.0791850537061691,1.0516389608383179,1.079099640250206,1.05923892557621,1.0615399181842804,1.0577530264854431,1.0820254683494568,1.0761421620845795,1.0755169242620468,1.0736296474933624,1.0610364377498627,1.0712551921606064,1.086139664053917,1.0604632049798965,1.0860056430101395,1.0655928999185562,1.0776346772909164,1.0913603156805038,1.0764073878526688,1.1019109189510345,1.0834041684865952,1.0635137856006622,1.0654770135879517
1.091623142361641,1.0840944200754166,1.0886167734861374,1.0715842545032501,1.068929135799408,1.0668835043907166,1.069255530834198,1.0793481171131134,1.0820755809545517,1.0789859294891357,1.0515518933534622,1.0792408734560013,1.05913445353508,1.061432659626007,1.057723343372345,1.0820124298334122,1.0762114226818085,1.0754187554121017,1.0736043751239777,1.0607815980911255,1.0711506754159927,1.0860146582126617,1.0604699850082397,1.0858836621046066,1.0654154270887375,1.0774304270744324,1.0913171470165253,1.0762695223093033,1.101924180984497,1.0833632498979568,1.0632263869047165,1.0654874593019485
