Meas 1 xValues MR,Meas 2 xValues MR,Meas 3 xValues MR,Meas 4 xValues MR,Meas 5 xValues MR,Meas 6 xValues MR,Meas 7 xValues MR,Meas 8 xValues MR,Meas 9 xValues MR,Meas 10 xValues MR,Meas 11 xValues MR,Meas 12 xValues MR,Meas 13 xValues MR,Meas 14 xValues MR,Meas 15 xValues MR,Meas 16 xValues MR,Meas 17 xValues MR,Meas 18 xValues MR,Meas 19 xValues MR,Meas 20 xValues MR,Meas 21 xValues MR,Meas 22 xValues MR,Meas 23 xValues MR,Meas 24 xValues MR,Meas 25 xValues MR,Meas 26 xValues MR,Meas 27 xValues MR,Meas 28 xValues MR,Meas 29 xValues MR,Meas 30 xValues MR,Meas 31 xValues MR,Meas 32 xValues MR
0.0334253956118292,0.03346807116944726,0.03346062523028714,0.03342034811895271,0.03333451624751359,0.03321986008623562,0.03314487851440794,0.03307076168490288,0.03303370818115011,0.03301678266130612,0.0330690853678578,0.03310765050727561,0.03316990995487679,0.033233769408855265,0.03329813239728627,0.03334551704133278,0.03336920127500253,0.033378892045841754,0.03336276806655336,0.0333272572908445,0.033299307413427286,0.03327586710212668,0.0332512993745971,0.03323740593981283,0.033244483164709335,0.033233488886506055,0.033241707212367716,0.033264700597403975,0.03328001852858798,0.033294712391526884,0.0332880009469305,0.03327563078663651
0.0423887226138423,0.04244284201441037,0.042433399378238666,0.04238232158936613,0.042273473112833145,0.04212807084825502,0.04203298227888507,0.041938990340438256,0.04189200059914433,0.04187053634561406,0.04193686450357272,0.04198577123952672,0.042064726130146585,0.04214571008355735,0.042227332598811416,0.04228742387060874,0.04231745924918756,0.04232974868928241,0.04230930091677362,0.04226426760022575,0.04222882270632867,0.04219909666014384,0.042167940870707646,0.04215032178370974,0.04215929683149968,0.04214535433656229,0.04215577648202755,0.042184935754563134,0.04220436132976102,0.04222299548707889,0.04221448430693796,0.042198796974483324
0.053755652121894495,0.05382428414217228,0.0538123093754452,0.053747534603277594,0.05360949739720725,0.05342510416546016,0.05330451671340634,0.053185319964038864,0.05312572948736172,0.053098509394972036,0.05318262406428145,0.053244645595534254,0.05334477297309523,0.05344747352547241,0.05355098387597962,0.053627189180199944,0.05366527882439473,0.05368086379194683,0.053654932759401607,0.05359782334092972,0.05355287356966186,0.05351517620821438,0.053475665704588865,0.05345332189583593,0.05346470368601556,0.05344702238161785,0.05346023932214936,0.053497217924331604,0.05352185264786688,0.05354548372747004,0.05353469019535606,0.05351479615906169
0.06817073076563782,0.06825776710119653,0.06824258118927266,0.0681604364588203,0.06798538329065626,0.06775154329690206,0.06759861919677143,0.06744745872920156,0.06737188851134722,0.06733736909773272,0.06744403989882225,0.06752269308117265,0.06764967054732822,0.06777991120908619,0.06791117882388291,0.06800781928998939,0.06805612302693362,0.06807588724864888,0.06804300256827876,0.06797057872748895,0.06791357525652128,0.06786576899659566,0.0678156633835345,0.06778732787441778,0.0678017617976117,0.06777933908680636,0.0677961002730064,0.06784299503167733,0.06787423578570634,0.06790420375933776,0.06789051584108716,0.06786528703372398
0.08645133928694121,0.0865617152164812,0.08654245706258777,0.0864382844670587,0.08621628918162995,0.08591974284258012,0.08572581073833156,0.08553411520093764,0.08543828013403518,0.08539450402213412,0.0855297795797441,0.08562952433643077,0.08579055197813451,0.08595571787135786,0.08612218610452368,0.08624474160056116,0.0863059984288875,0.08633106260845633,0.08628935959855619,0.08619751463866997,0.08612522516261754,0.08606459921434836,0.08600105732024982,0.08596512338372009,0.08598342789618849,0.08595499232922604,0.0859762481816829,0.08603571820125153,0.08607533645084059,0.08611334061226081,0.0860959821528234,0.08606398800869933
0.10963407061784708,0.10977404488028777,0.10974962247317023,0.109617515026497,0.10933598963891748,0.10895992163875681,0.10871398483560694,0.10847088435553205,0.10834935022339355,0.10829383513961208,0.1084653860971589,0.10859187833878921,0.10879608704148352,0.10900554370636187,0.10921665194576062,0.10937207183882416,0.10944975525585332,0.10948154062847441,0.10942865456829212,0.10931218052750673,0.10922050595557033,0.10914362259495798,0.10906304135050011,0.10901747139441186,0.1090406844322796,0.10900462360335395,0.10903157941049955,0.10910699686937074,0.1091572391213593,0.10920543445241239,0.10918342116050186,0.10914284748882497
0.13903344875904947,0.1392109583993917,0.13917998690057376,0.13901245363455325,0.1386554346410248,0.13817852056918933,0.13786663356430112,0.13755834346844573,0.13740421884789733,0.13733381688696686,0.13755137080183327,0.13771178309425308,0.13797075222713484,0.13823637661122903,0.13850409545464742,0.13870119261264413,0.13879970754801124,0.13884001645883337,0.13877294851821065,0.1386252408987632,0.13850898295241498,0.13841148261590575,0.13830929277419743,0.1382515028178541,0.13828094064400376,0.13823520977418938,0.13826939402740937,0.13836503536722655,0.13842875053832276,0.1384898698879249,0.1384619535305771,0.13841049965797833
0.17631655116451217,0.17654166165312446,0.1765023848610667,0.17628992600362114,0.1758371690720985,0.17523236609052545,0.17483684370691388,0.17444588277668766,0.1742504282167441,0.17416114732026003,0.17443704032517326,0.17464046865422858,0.17496888275008338,0.17530573676418362,0.1756452468862053,0.1758951974661016,0.1760201300905683,0.17607124820783282,0.17598619537997126,0.17579887859919552,0.17565144501160532,0.1755277990600438,0.17539820606918533,0.17532491920271287,0.17536225105362224,0.17530425702902322,0.17534760810522593,0.17546889655297598,0.17554969753522026,0.17562720660248032,0.1755918042162735,0.17552655251287658
0.22359746333007652,0.22388293927598327,0.22383313004926095,0.22356369838630544,0.22298953050061945,0.22222254401182395,0.2217209586468556,0.22122515793114067,0.22097729042516331,0.22086406803142986,0.22121394429455818,0.22147192380950345,0.22188840517934638,0.22231558970948778,0.2227461426074293,0.22306311974459295,0.2232215542065503,0.22328638011923438,0.2231785195897873,0.22294097208364572,0.22275400281741917,0.22259720006159397,0.22243285551294026,0.2223399160961333,0.2223872588277692,0.222313713169673,0.2223686892374757,0.22252250230306161,0.22262497081520682,0.2227232646549511,0.22267836879180383,0.22259561924128715
0.28355719271660185,0.28391922167973876,0.2838560556478419,0.2835143733906338,0.2827862370719636,0.2818135760570515,0.28117748593384556,0.28054873166713246,0.2802343961951918,0.28009081216860415,0.2805345109901081,0.2808616700998172,0.28138983480389124,0.28193157281976505,0.28247758246244187,0.2828795599528429,0.2830804800822268,0.28316268966341895,0.28302590533465494,0.2827246572660268,0.2824875504604938,0.2822886995943443,0.28208028453381323,0.281962422552152,0.28202246067547543,0.28192919306842984,0.28199891147766654,0.2821939709404669,0.28232391733258155,0.2824485695752507,0.2823916344708491,0.28228669486244024
0.35959569277270237,0.3600548031714046,0.35997469858022124,0.35954139104599236,0.3586179981973163,0.35738450907951463,0.3565778454702134,0.35578048489559216,0.3553818574415938,0.3551997700220605,0.35576245081168384,0.35617734068125706,0.35684713766591475,0.35753414777224685,0.35822657498186156,0.3587363464771813,0.3589911452090547,0.3590954000544992,0.35892193573504,0.35853990519334594,0.3582392159913549,0.35798704141490906,0.3577227379163523,0.3575732701474659,0.357649408052283,0.35753112986844476,0.35761954391792905,0.35786691039093427,0.3580317031173967,0.35818978201897145,0.3581175792364773,0.35798449909548863
0.4560245807186108,0.45660680578770824,0.456505220414629,0.45595571748511576,0.4547847083625949,0.4532204478081114,0.4521974699426755,0.4511862898061186,0.4506807667388903,0.45044985090531464,0.45116341971696505,0.4516895661158768,0.4525389753141348,0.4534102134907488,0.45428832141664743,0.4549347928207485,0.45525791817293026,0.4553901299127738,0.4551701495427613,0.45468567400231635,0.45430435222894555,0.4539845547235725,0.45364937581421894,0.45345982689022657,0.453556381873556,0.4534063863083224,0.4535185093972694,0.45383220946210123,0.45404119287180517,0.45424166208281064,0.45415009746099955,0.45398133065784796
0.5783117804777419,0.579050134572203,0.5789213081438482,0.5782244509326783,0.5767394249072532,0.5747556934492495,0.5734583946286085,0.5721760572067212,0.5715349734637776,0.5712421354184134,0.5721470542921037,0.5728142917034447,0.5738914778170193,0.5749963465509456,0.5761099272208249,0.5769297558979205,0.5773395302952639,0.5775071958332673,0.5772282256969391,0.5766138335693237,0.5761302568433817,0.5757247026856799,0.5752996424585725,0.5750592642413523,0.5751817113345228,0.5749914930742323,0.5751336830042124,0.5755315046364213,0.5757965288760484,0.5760507557560224,0.5759346372358652,0.5757206140569779
0.7333914265978536,0.7343277771633286,0.7341644047381697,0.73328067882857,0.7313974293564223,0.7288817419831329,0.7272365604998721,0.7256103524526474,0.7247973561819891,0.7244259909096541,0.7255735721385592,0.7264197354253915,0.7277857789458837,0.7291869284370943,0.7305991260503608,0.7316387993604295,0.7321584585477328,0.7323710851485709,0.7320173065931852,0.7312381595410706,0.7306249072490022,0.7301105999975852,0.729571555944063,0.7292667180873892,0.7294220004997046,0.7291807734557662,0.7293610929289572,0.7298655941067409,0.7302016870443991,0.7305240872106721,0.730376830436684,0.7301054149653279
