Meas 1 xValues MR,Meas 2 xValues MR,Meas 3 xValues MR,Meas 4 xValues MR,Meas 5 xValues MR,Meas 6 xValues MR,Meas 7 xValues MR,Meas 8 xValues MR,Meas 9 xValues MR,Meas 10 xValues MR,Meas 11 xValues MR,Meas 12 xValues MR,Meas 13 xValues MR,Meas 14 xValues MR,Meas 15 xValues MR,Meas 16 xValues MR,Meas 17 xValues MR,Meas 18 xValues MR,Meas 19 xValues MR,Meas 20 xValues MR,Meas 21 xValues MR,Meas 22 xValues MR,Meas 23 xValues MR,Meas 24 xValues MR,Meas 25 xValues MR,Meas 26 xValues MR,Meas 27 xValues MR,Meas 28 xValues MR,Meas 29 xValues MR,Meas 30 xValues MR,Meas 31 xValues MR,Meas 32 xValues MR,Meas 33 xValues MR,Meas 34 xValues MR,Meas 35 xValues MR,Meas 36 xValues MR,Meas 37 xValues MR,Meas 38 xValues MR,Meas 39 xValues MR,Meas 40 xValues MR,Meas 41 xValues MR,Meas 42 xValues MR,Meas 43 xValues MR,Meas 44 xValues MR,Meas 45 xValues MR,Meas 46 xValues MR,Meas 47 xValues MR,Meas 48 xValues MR,Meas 49 xValues MR,Meas 50 xValues MR,Meas 51 xValues MR,Meas 52 xValues MR,Meas 53 xValues MR,Meas 54 xValues MR,Meas 55 xValues MR,Meas 56 xValues MR,Meas 57 xValues MR,Meas 58 xValues MR,Meas 59 xValues MR,Meas 60 xValues MR,Meas 61 xValues MR,Meas 62 xValues MR,Meas 63 xValues MR,Meas 64 xValues MR,Meas 65 xValues MR,Meas 66 xValues MR,Meas 67 xValues MR,Meas 68 xValues MR,Meas 69 xValues MR,Meas 70 xValues MR,Meas 71 xValues MR,Meas 72 xValues MR,Meas 73 xValues MR,Meas 74 xValues MR,Meas 75 xValues MR,Meas 76 xValues MR,Meas 77 xValues MR,Meas 78 xValues MR,Meas 79 xValues MR,Meas 80 xValues MR,Meas 81 xValues MR,Meas 82 xValues MR,Meas 83 xValues MR,Meas 84 xValues MR,Meas 85 xValues MR,Meas 86 xValues MR,Meas 87 xValues MR,Meas 88 xValues MR,Meas 89 xValues MR,Meas 90 xValues MR,Meas 91 xValues MR,Meas 92 xValues MR,Meas 93 xValues MR,Meas 94 xValues MR,Meas 95 xValues MR,Meas 96 xValues MR,Meas 97 xValues MR,Meas 98 xValues MR,Meas 99 xValues MR,Meas 100 xValues MR,Meas 101 xValues MR,Meas 102 xValues MR,Meas 103 xValues MR,Meas 104 xValues MR,Meas 105 xValues MR,Meas 106 xValues MR,Meas 107 xValues MR,Meas 108 xValues MR,Meas 109 xValues MR,Meas 110 xValues MR,Meas 111 xValues MR,Meas 112 xValues MR,Meas 113 xValues MR,Meas 114 xValues MR,Meas 115 xValues MR,Meas 116 xValues MR,Meas 117 xValues MR,Meas 118 xValues MR,Meas 119 xValues MR,Meas 120 xValues MR,Meas 121 xValues MR,Meas 122 xValues MR,Meas 123 xValues MR,Meas 124 xValues MR,Meas 125 xValues MR,Meas 126 xValues MR,Meas 127 xValues MR,Meas 128 xValues MR
0.03355256079484606,0.033581630218779475,0.03352411523630752,0.03341101882578588,0.03332244985694862,0.03324308765307355,0.03315718702093684,0.03308646238994915,0.033105215170821135,0.033126274040537744,0.03313665523423908,0.03316216748578498,0.033187073133416456,0.033212756764482265,0.03325378783364367,0.033274393770635874,0.03334368013109486,0.03338409802099096,0.0333469648108621,0.03329229192795439,0.03325115898630903,0.03321215864836526,0.03321306596996259,0.03321039781975845,0.033237187379068604,0.03325485735850838,0.03322645355283399,0.03322694331734632,0.033243233529517996,0.033263478401049734,0.03328552767876642,0.03328566017754179,0.033269266977420234,0.03324558578727334,0.03320469503783296,0.03320991575928929,0.033230728255727794,0.03324576369656552,0.033275901155231664,0.03330737584991273,0.03330025873289369,0.033265750491585755,0.03323684724952901,0.033217079493614486,0.03322411213931187,0.033251848495264205,0.03327209192087303,0.033298439458572936,0.03328150035828754,0.033239396892061505,0.03321670395622399,0.033208314985908365,0.033220235826527514,0.033282309744605505,0.03331367022665162,0.03332855434578169,0.03329479284888968,0.033225229698124054,0.033184897241033906,0.03319679033082479,0.03323010049391597,0.033268174470954294,0.03329823896448957,0.03330836549830781,0.03330204379430135,0.03325330757052018,0.03322812418335243,0.033223360685729904,0.033231789892500564,0.03326171644158886,0.03330017956899436,0.03331230593527732,0.03326794779152704,0.03322389388358154,0.03321217941417849,0.03321370254838524,0.03325783176520051,0.033276654251425015,0.03328735956195688,0.033299266628932435,0.033272540515371825,0.033228892912322346,0.03319221872628491,0.03319210819211353,0.033244879337992264,0.0332956160205087,0.03331857532340995,0.03331899584179934,0.03328941211929549,0.03324355952167243,0.03320799326760917,0.03320216864533346,0.03323203545491577,0.03327298611920384,0.033285594840459676,0.03331982745975772,0.03327455779355753,0.03322406527413942,0.03320092076539751,0.03321579430957913,0.03324738366434335,0.03326272158828738,0.03330267213079069,0.03331647949554778,0.03327686270423134,0.03325643472233211,0.03321382713455537,0.03319016135762747,0.03319946862351356,0.033233455891077034,0.03328672028366465,0.03332863344800262,0.03331370622812943,0.03328679083807703,0.033246430148744115,0.03319334221214705,0.033221335682726276,0.0332322063408638,0.03326699591914801,0.03329563041780958,0.0333048049385706,0.033286112576744874,0.033263224373841604,0.03321359256463229,0.03320763277147141,0.03322414462798147,0.0332587111444125,0.03330629343325032
0.04254998830929251,0.042586852966392384,0.04251391481282628,0.0423704905605034,0.04225817100875191,0.04215752710059446,0.04204859142455094,0.041958901333827146,0.04198268284522202,0.04200938884437742,0.04202255385056961,0.04205490744681698,0.04208649177273578,0.04211906270549625,0.04217109663291569,0.04219722824127433,0.0422850943760099,0.042336350694509126,0.04228925987284188,0.04221992595395615,0.04216776283601,0.042118304199045976,0.04211945482726762,0.04211607118806679,0.04215004461389345,0.04217245296070147,0.04213643241351359,0.04213705351288068,0.042157712095148035,0.04218338581502491,0.042211347809187144,0.04221151583872674,0.042190726651344324,0.04216069513243697,0.042108839152761236,0.04211545985865285,0.04214185341727153,0.04216092074974078,0.04219913984490187,0.04223905476820404,0.04223002913085232,0.04218626718751795,0.04214961327549213,0.04212454461416977,0.04213346312843867,0.042168637243127874,0.04219430912934431,0.0422277220014039,0.042206240525712056,0.04215284662810012,0.04212406837297694,0.04211342982317923,0.04212854734675912,0.04220726695640919,0.042247037039908765,0.042265912472363866,0.042223097519822894,0.04213488037091635,0.042083732394815096,0.0420988147259271,0.04214105731536093,0.042189341179229754,0.042227467742989605,0.042240309799910815,0.042232292872880585,0.04217048758282218,0.04213855103895811,0.04213251016567309,0.04214319974170102,0.04218115136994276,0.04222992873842589,0.04224530690126505,0.04218905371363097,0.04213318634542855,0.04211833053340285,0.04212026211004425,0.042176224981881935,0.042200094890760174,0.042213670928689544,0.04222877098509673,0.0421948780185804,0.04213952590966569,0.042093017203618265,0.042092877028693056,0.04215979924228913,0.04222414143247624,0.04225325748343912,0.042253790767699057,0.042216273898140845,0.04215812550509445,0.04211302183316162,0.042105635284896255,0.0421435111539345,0.04219544311517493,0.042211432980905635,0.04225484539165528,0.042197436248449745,0.042133403695939556,0.042104052774487866,0.04212291479622491,0.04216297512676522,0.04218242605596546,0.04223308970357375,0.04225059964007572,0.04220035924210213,0.04217445330913,0.04212042010514081,0.04209040813264877,0.04210221122741302,0.04214531249310576,0.04221286022204849,0.042266012786572264,0.0422470826955137,0.04221294969627492,0.042161765917195546,0.042094441962538816,0.042129942139504904,0.042143727864519885,0.042187846587926105,0.042224159690545666,0.04223579444335966,0.04221208955293354,0.04218306366808649,0.04212012263313724,0.04211256466667167,0.042133504329243586,0.04217734017471084,0.042237682091566545
0.05396016271077896,0.05400691296793359,0.053914415771327044,0.05373253097418541,0.053590091891851085,0.05346245938533783,0.05332431159639864,0.053210570275159706,0.05324072901962392,0.053274596480392754,0.053291291805220006,0.05333232131867362,0.0533723752748181,0.053413680405588554,0.053479667713731256,0.05351280675547851,0.05362423500999727,0.05368923618616845,0.05362951752347745,0.053541591070542724,0.05347543992823416,0.053412718498591624,0.05341417767845339,0.05340988668498698,0.05345297040036014,0.05348138775340501,0.05343570796207203,0.05343649561500073,0.05346269398789845,0.053495252354116486,0.053530712616613955,0.053530925704834594,0.05350456170384767,0.053466476954331085,0.05340071531227164,0.053409111421915074,0.05344258265831655,0.05346676307300956,0.0535152309733662,0.05356584945392411,0.05355440350812203,0.05349890639339435,0.053452423394561945,0.05342063233896721,0.05343194243563727,0.05347654881573873,0.053509104856583264,0.05355147770049251,0.05352423576765873,0.05345652380069038,0.05342002838927708,0.05340653701358224,0.05342570844146197,0.053525537445276744,0.0535759722458943,0.05359990930080275,0.05354561312124163,0.053433739724843096,0.05336887594408977,0.053388002742314616,0.05344157307428757,0.05350280470452278,0.05355115526032388,0.05356744103403484,0.053557274293591875,0.05347889534120072,0.05343839471659894,0.05343073392705874,0.053444290012141155,0.05349241872184085,0.05355427619453441,0.05357377815451057,0.05350244015235483,0.05343159143069332,0.05341275189475078,0.05341520144160144,0.05348617127708467,0.053516442123638104,0.05353365870217889,0.05355280797890139,0.053509826298749605,0.0534396310079375,0.053380650560574165,0.05338047279644137,0.05346534082292261,0.05354693696876471,0.05358386075910824,0.05358453704849352,0.053536959682054665,0.05346321825756011,0.0534060196172536,0.05339665229749378,0.05344468493245621,0.05351054293124235,0.0535308206279195,0.05358587447965479,0.05351307054170916,0.053431867065761744,0.05339464542222728,0.053418565470209116,0.05346936835030605,0.05349403522675479,0.053558284801833236,0.053580490190371394,0.053516777363246656,0.053483924513836,0.053415401804549976,0.05337734184300145,0.053392310047207285,0.05344696931744997,0.0535326305970254,0.05360003651519745,0.05357603014447357,0.05353274406459632,0.0534678348799639,0.053382457381826794,0.05342747726083187,0.05344495975599702,0.05350090932468518,0.053546960122904955,0.05356171484270369,0.053531653265832334,0.0534948438204857,0.0534150245626669,0.05340543985732502,0.05343199468482054,0.05348758551922415,0.05356410868130227
0.06843008277316162,0.0684893695470712,0.06837206836593879,0.06814140946688593,0.06796077401835116,0.0677989156668102,0.06762372226195137,0.06747948014635904,0.06751772623896411,0.0675606755746833,0.06758184790631576,0.06763387986583415,0.06768467466326741,0.06773705614945247,0.06782073856869175,0.06786276415304632,0.06800407293154014,0.06808650477833769,0.06801077200019633,0.06789926725021024,0.06781537706314804,0.06773583629813786,0.0677376867706662,0.06773224510734766,0.06778688212215733,0.06782291985301958,0.06776499060030901,0.0677659894697045,0.06779921318023187,0.0678405023755073,0.0678854716375695,0.0678857418673806,0.0678523081140497,0.06780401058433722,0.06772061434564262,0.06773126195026442,0.06777370881036286,0.06780437342840341,0.06786583844753286,0.06793003074496895,0.06791551546222505,0.06784513627944086,0.06778618843166108,0.06774587230849716,0.06776021531289936,0.067816783309162,0.06785806955549335,0.06791180507203702,0.06787725796125998,0.06779138839987238,0.06774510640407413,0.06772799719036643,0.06775230961514027,0.06787890869585139,0.06794286805786083,0.06797322405692463,0.067904367851254,0.06776249456194057,0.06768023695442146,0.0677044927816829,0.06777242849697612,0.06785007995899615,0.06791139616653487,0.0679320491221058,0.06791915607554896,0.06781975907727547,0.06776839783307909,0.0677586827314929,0.06777587400701297,0.06783690887835256,0.06791535400831346,0.06794008560044303,0.06784961764876997,0.06775977018271144,0.06773587864978804,0.06773898506543481,0.06782898612311408,0.06786737437902739,0.06788920774341013,0.06791349207698767,0.06785898445909407,0.06776996564745139,0.06769516904395144,0.06769494361071125,0.06780256978871287,0.06790604670081694,0.06795287194934427,0.06795372959202524,0.06789339391177554,0.06779987803768486,0.06772734104939471,0.06771546179562071,0.06777637482888768,0.0678598932632624,0.06788560861311234,0.06795542566780544,0.06786309867601087,0.06776011973188993,0.06771291675806516,0.06774325118963663,0.0678076773350651,0.0678389588641107,0.06792043756098425,0.06794859753121674,0.06786779951625845,0.06782613686938031,0.06773923915757361,0.06769097306295362,0.06770995513048852,0.06777927179298777,0.06788790394228689,0.06797338538504379,0.06794294148248323,0.06788804783724346,0.06780573265037232,0.06769746038114656,0.06775455275989396,0.06777672334891988,0.06784767631540693,0.06790607606395549,0.06792478739925174,0.06788666453063431,0.0678399842897795,0.06773876075476702,0.06772660582144305,0.06776028157318763,0.06783077960745149,0.06792782316795995
0.08678023892092447,0.08685542398860557,0.08670666741676099,0.08641415521221787,0.08618508070658855,0.0859798185492325,0.08575764542134931,0.08557472345565396,0.08562322558979667,0.08567769218495719,0.08570454207206997,0.08577052688014769,0.08583494276974715,0.08590137083328232,0.08600749346299094,0.0860607885943613,0.08623999062163296,0.08634452732639625,0.0862484861071705,0.08610708033280243,0.08600069422041802,0.08589982386761692,0.08590217056137527,0.08589526966598288,0.08596455809889077,0.08601025967877576,0.08593679616409028,0.08593806288950223,0.08598019584361487,0.08603255711640087,0.08608958529973351,0.08608992799415416,0.08604752867232816,0.08598627971575984,0.0858805200085414,0.08589402286628424,0.08594785224236427,0.0859867398598,0.08606468728919321,0.08614609334165778,0.0861276856523277,0.08603843364429904,0.08596367838890706,0.08591255112647002,0.0859307403394364,0.08600247756423593,0.0860548350972914,0.08612298028688084,0.08607916905056834,0.08597027277642598,0.08591157983773083,0.08588988263098879,0.08592071465610286,0.08608126244482465,0.08616237309808528,0.08620086933752683,0.08611354870693379,0.08593363079007361,0.08582931504845402,0.08586007529891215,0.08594622860116595,0.08604470301700139,0.08612246172960698,0.08614865296518989,0.08613230252960251,0.08600625131194156,0.085941117077669,0.08592879678222838,0.08595059805641261,0.08602799998992941,0.0861274809030646,0.08615884449911654,0.0860441167340355,0.08593017584349406,0.08589987757625168,0.08590381700582841,0.0860179526749965,0.08606663509484623,0.08609432327672177,0.08612511967772687,0.08605599534070835,0.08594310531588673,0.08584825131514386,0.08584796542990666,0.0859844525575357,0.08611567775544988,0.0861750596250905,0.0861761472525454,0.08609963200464071,0.08598103898870957,0.08588905053978,0.08587398575483554,0.08595123317827982,0.08605714784907403,0.08608975900652813,0.08617829814664735,0.0860612128227359,0.0859306191275001,0.08587075824204903,0.08590922713047677,0.08599092973942392,0.08603059969822534,0.08613392765714495,0.08616963898242397,0.0860671742365364,0.08601433936766524,0.08590413923511149,0.08584293014324486,0.08586700242679526,0.08595490698995101,0.08609266984933435,0.0862010739272651,0.08616246621219557,0.08609285233104715,0.08598846356964264,0.08585115709548465,0.08592355932075577,0.08595167515716451,0.08604165481427387,0.08611571499258414,0.08613944394455576,0.08609109807804646,0.08603190010121957,0.08590353254419174,0.08588811815369013,0.08593082436803044,0.0860202270986563,0.08614329378256749
0.11005116775012658,0.11014651439353947,0.10995786736230785,0.10958691528737215,0.1092964123208009,0.10903610720534107,0.10875435628519756,0.10852238209173787,0.10858389052461555,0.10865296284425102,0.10868701277851558,0.10877069202707514,0.10885238163706278,0.10893662300415657,0.10907120340482578,0.10913879012175161,0.1093660468406736,0.10949861603586138,0.1093768204697352,0.10919749542074567,0.10906258088206865,0.10893466120524863,0.10893763718678162,0.10892888575205527,0.10901675452319379,0.10907471140712162,0.1089815479671646,0.10898315437678663,0.10903658567472398,0.10910298811019357,0.10917530893171312,0.10917574352283252,0.1091219744282001,0.10904430099381415,0.108910180836679,0.10892730461141205,0.10899556883573928,0.10904488452976176,0.1091437342878923,0.10924697013106412,0.10922362624849884,0.10911044048374717,0.10901563891078948,0.10895080139703028,0.10897386821676132,0.10906484244613093,0.10913124013902642,0.1092176590955092,0.1091620994683784,0.10902400164470308,0.10894956964817477,0.10892205413348424,0.10896115405312144,0.10916475422579018,0.1092676154557119,0.10931643482008804,0.10920569834960889,0.10897753376864162,0.10884524478992127,0.10888425368786045,0.10899350980004055,0.10911839104709585,0.10921700148227556,0.10925021614147169,0.10922948118438942,0.10906962815941039,0.10898702757393912,0.10897140347659706,0.1089990509653831,0.10909720894784042,0.109223366593815,0.10926314063008499,0.10911764754689546,0.10897315234597763,0.10893472931635373,0.10893972514064021,0.10908446735188643,0.10914620441576162,0.10918131744133254,0.10922037218392436,0.10913271151251534,0.10898954897674172,0.1088692589927854,0.1088688964447608,0.10904198386610477,0.10920839832230207,0.10928370399302152,0.10928508327790223,0.10918804975405733,0.10903765491702393,0.1089209989092726,0.10890189436202016,0.1089998564010908,0.109134173076727,0.10917552921960161,0.10928781095427845,0.10913932811091363,0.10897371450071602,0.1088978013616378,0.10894658604057121,0.10905019796460681,0.10910050579211435,0.1092315421050093,0.10927682975456787,0.10914688813331441,0.10907988510256113,0.1089401337787049,0.10886251089911148,0.10889303838956409,0.10900451537955796,0.10917922063200085,0.10931669427246898,0.10926773353923758,0.1091794520478835,0.10904707046844324,0.10887294398517199,0.10896476154107955,0.10900041690072743,0.10911452544043385,0.10920844554492046,0.10923853763623567,0.10917722737561183,0.1091021549102758,0.10893936439796786,0.10891981649517395,0.10897397477840501,0.10908735168342126,0.10924341984414508
0.13956239429980627,0.1396833090171618,0.13944407456018618,0.1389736482956866,0.13860524430330068,0.13827513599182373,0.1379178309871128,0.13762365079332775,0.1377016532746965,0.1377892479681945,0.1378324287035639,0.13793854730749092,0.13804214273307674,0.13814897419276098,0.1383196435579954,0.13840535427083808,0.13869355195616828,0.1388616707927881,0.13870721463233857,0.1384798019323504,0.13830870882694718,0.13814648631954413,0.13815026033772704,0.13813916212578672,0.13825059371106638,0.1383240922631716,0.1382059461952341,0.13820798337827958,0.13827574276714508,0.13835995162263415,0.13845166593348923,0.13845221706418964,0.13838402929535767,0.13828552701957078,0.1381154413163809,0.13813715698782766,0.13822372688787415,0.13828626703601654,0.1384116242603213,0.13854254373846198,0.13851293998041317,0.13836940241827422,0.13824917893699865,0.1381669546512807,0.13819620704956379,0.1383115768500845,0.13839577969123487,0.13850537268080687,0.13843491423182083,0.13825978421445034,0.13816539259771085,0.13813049854625178,0.13818008346673066,0.13843828088669824,0.13856872529562167,0.13863063601878636,0.13849020455156677,0.1382008555526856,0.13803309207514025,0.1380825615656208,0.1382211157029323,0.1383794849978566,0.13850453872257376,0.13854666019623035,0.13852036497087958,0.13831764589612341,0.1382128952086513,0.13819308136679564,0.13822814278241022,0.13835262272507184,0.1385126106969525,0.138563050504601,0.13837854212128153,0.13819529921148607,0.13814657269526465,0.13815290819549764,0.13833646435369884,0.13841475677555687,0.13845928567988358,0.13850881330867942,0.13839764562697388,0.13821609274866217,0.13806354590600306,0.13806308613741183,0.13828258853288655,0.1384936285466166,0.1385891281212674,0.13859087727399616,0.1384678233238019,0.13827709873654112,0.13812916035402256,0.1381049327478002,0.13822916420306497,0.13839949912298824,0.13845194529358854,0.13859433640172483,0.13840603652671138,0.1381960121131559,0.13809974217195342,0.13816160890845686,0.1382930053169825,0.1383568036482725,0.1385229785462014,0.13858041049293873,0.13841562383822095,0.13833065333233313,0.1381534264135945,0.13805498824932985,0.1380937019653824,0.1382350725291933,0.1384566265919638,0.13863096504569478,0.1385688750443241,0.13845692006413066,0.13828903915413593,0.1380682190627806,0.13818465833555882,0.1382298750058024,0.13837458279343479,0.13849368843241175,0.13853184999306847,0.13845409882565482,0.1383588949925426,0.13815245071638033,0.13812766086477557,0.13819634218668625,0.13834012214509883,0.13853804140965437
0.17698733833358912,0.17714067744830897,0.17683729006383317,0.17624071465500823,0.17577351973211386,0.17535488983038983,0.17490177019114653,0.17452870286344918,0.1746276224300712,0.17473870644903017,0.17479346649709798,0.17492804178402213,0.17505941727904684,0.17519489658057835,0.17541133251118468,0.1755200273426886,0.1758855078970772,0.1760987093512824,0.17590283434595352,0.17561443883170275,0.17539746553109073,0.17519174156119816,0.1751965276171867,0.17518245331729074,0.17532376631055002,0.17541697417771038,0.17526714615130148,0.1752697296237815,0.17535565931811342,0.17546244955535395,0.17557875790508365,0.1755794568265677,0.17549298387822782,0.17536806730812463,0.17515237155392663,0.17517991048308282,0.17528969490076857,0.1753690057668098,0.1755279786877166,0.1756940054321587,0.17565646315318006,0.175474434669065,0.1753219721517593,0.17521769866498935,0.17525479536383842,0.1754011026411009,0.17550788525120228,0.1756468666123468,0.17555751408001372,0.17533542133223431,0.17521571773233877,0.17517146651894852,0.17523434809346627,0.17556178353446691,0.17572720781549678,0.17580572047044374,0.17562763100926634,0.17526069040597275,0.1750479396036574,0.17511067479455747,0.1752863835024863,0.17548722098541314,0.17564580902051696,0.1756992257560679,0.17566587922336427,0.17540879915784557,0.17527595860679798,0.1752508315003895,0.17529529495817817,0.1754531553462729,0.17565604556932052,0.17572001127689205,0.1754860252677828,0.17525364408060187,0.17519185109936528,0.17519988552245522,0.17543266395849283,0.17553195121582216,0.17558842095679525,0.1756512298763364,0.17551025155483016,0.17528001359667245,0.17508655991032032,0.1750859768505382,0.17536434083911712,0.17563197318018836,0.1757530818471343,0.17575530005130996,0.175599248048723,0.17535737890321706,0.17516976947812304,0.17513904501569885,0.17529659028220804,0.17551260208290645,0.17557911217817176,0.17575968677606293,0.17552089255177075,0.17525454815343375,0.17513246253903564,0.17521091941189218,0.17537755098000346,0.17545845742261496,0.175669193653029,0.17574202650631554,0.1755330507893416,0.1754252946581188,0.17520054270551733,0.17507570743903272,0.1751248025953284,0.1753040829805148,0.17558504880990944,0.17580613772895418,0.1757273977206958,0.17558542097934624,0.17537252125398642,0.17509248621721568,0.17524014975559152,0.1752974916932594,0.17548100420963383,0.17563204912491218,0.17568044406024683,0.1755818431997363,0.17546110958015187,0.1751993053660906,0.17516786788699587,0.17525496673922747,0.175437302620414,0.17568829576232997
0.22444812827587635,0.2246425866908929,0.22425784317630454,0.22350129055990328,0.22290881300206808,0.2223779236245174,0.22180329576768446,0.2213301869893337,0.2214556327516533,0.22159650497659014,0.22166594943746992,0.22183661233091023,0.22200321737869075,0.22217502670660752,0.22244950193163562,0.22258734428642787,0.22305083182811367,0.2233212052220107,0.2230728045243335,0.22270707308847937,0.22243191639271384,0.22217102563963162,0.22217709512075137,0.22215924666730727,0.2223384540452855,0.22245665646316296,0.22226665066722653,0.2222699269217205,0.22237889945748332,0.2225143264834641,0.2226618239917349,0.22266271033547216,0.22255304886712013,0.22239463476465218,0.2221210982011747,0.22215602194861353,0.22229524607218884,0.22239582487970413,0.22259742785808684,0.2228079762079554,0.2227603666200193,0.22252952551614602,0.22233617876623898,0.22220394338061947,0.2222509879019976,0.22243652882737613,0.22257194618092996,0.2227481966781001,0.2226348834387029,0.222353234468714,0.222201431242577,0.22214531365748366,0.22222505750716484,0.22264029778681277,0.22285008211713905,0.2229496486658805,0.22272380287033786,0.22225846375414393,0.22198866185860452,0.22206822007054855,0.22229104669186348,0.22254574060135437,0.22274685548325013,0.22281459640995088,0.2227723076964175,0.22244628923619325,0.22227782626408182,0.2222459610919431,0.22230234783673117,0.2225025399463497,0.2227598370571898,0.22284095576021934,0.22254422424099435,0.22224952789152455,0.22217116455147026,0.22218135347934098,0.22247655360361854,0.22260246565630565,0.22267407828003893,0.2227537299916403,0.22257494703073769,0.22228296863695476,0.22203763855730824,0.2220368991446587,0.22238990900855182,0.2227293094345095,0.22288289450940774,0.22288570754552686,0.22268780875669753,0.22238108016521957,0.22214316153948205,0.2221041980285986,0.22230399051386704,0.22257792787463393,0.22266227326642468,0.22289127061105082,0.222588441509319,0.22225067439983895,0.22209585040000332,0.22219534620817144,0.22240666157076402,0.2225092638234482,0.22277651092101852,0.2228688745768092,0.2226038600906232,0.22246720815726498,0.22218218689211286,0.22202387589558,0.22208613637162153,0.22231349244844903,0.22266980186081076,0.2229501778161155,0.22285032294717166,0.22267027383092045,0.22240028307724635,0.22204515405815015,0.22223241493858997,0.22230513364661986,0.2225378567397137,0.2227294057445126,0.2227907782288732,0.22266573663665337,0.22251262718153167,0.22218061774868722,0.2221407500191255,0.22225120523328049,0.22248243616558996,0.22280073543741102
0.28463597134128304,0.2848825755801729,0.2843946595310022,0.2834352303279416,0.28268387442906306,0.282010622151066,0.2812819025157284,0.2806819252394179,0.28084101044401627,0.2810196588599684,0.28110772549580365,0.28132415322375776,0.2815354349571794,0.2817533165466261,0.28210139484375923,0.28227620090184335,0.28286397691782406,0.28320685343984225,0.2828918417959122,0.28242803609036216,0.2820790935798057,0.28174824255650716,0.28175593962516765,0.28173330494372906,0.28196056843883677,0.28211046792913724,0.28186951032034685,0.28187366513280804,0.28201185966267395,0.2821836026991697,0.28237065302950476,0.2823717770545191,0.28223270884841345,0.2820318145381045,0.2816849266133049,0.28172921548686997,0.28190577384782584,0.2820333237935232,0.28228898847657513,0.2825559973152743,0.2824956207756638,0.282202877493146,0.2819576830226542,0.281789987494424,0.2818496474396488,0.2820849428815149,0.28225667365183293,0.2824801873511753,0.2823364881178183,0.2819793123696137,0.2817868017033134,0.2817156356683588,0.2818167635694327,0.2823433543734885,0.2826093943137334,0.2827356605540974,0.2824492521180751,0.2818591280107439,0.2815169762396577,0.28161786872251693,0.2819004483647972,0.28222344080353806,0.28247848650251234,0.28256439278571077,0.2825107639622236,0.2820973206342976,0.281883682756939,0.2818432726439506,0.28191478001626336,0.28216865549303316,0.28249494920566,0.2825978206397331,0.28222151781711224,0.2818477959138537,0.2817484187188411,0.28176133990202795,0.2821357006719718,0.2822953772070157,0.2823861934186419,0.2824872044739571,0.28226047920729214,0.28189020410469506,0.281579086493442,0.2815781488004465,0.2820258215267647,0.28245623531839753,0.28265100565269696,0.28265457303048863,0.28240360584970436,0.2820146251473741,0.2817129064399953,0.2816634945030263,0.28191686319247766,0.28226425939206956,0.28237122278136106,0.282661627883524,0.2822775923552085,0.2818492498689846,0.28165290838055845,0.28177908491060955,0.28204706644359406,0.28217718244001117,0.2825160943204059,0.28263322614540515,0.2822971455718022,0.2821238491576781,0.2817623968021486,0.28156163324658556,0.28164058944555403,0.2819289131587667,0.2823807702380156,0.28273633160086564,0.2826096997245684,0.28238136877127873,0.28203897749800094,0.2815886173453973,0.28182609396419406,0.28191831286685887,0.28221344281142624,0.2824563574548194,0.2825341875389185,0.28237561488637314,0.2821814477136956,0.28176040687838955,0.2817098482481344,0.28184992305032686,0.28214316069738427,0.28254681486508865
